date_key,fulldate,date,month,year,quarter
382014,8/3/2014,3,8,2014,3
792014,9/7/2014,7,9,2014,3
9112014,11/9/2014,9,11,2014,4
28122014,12/28/2014,28,12,2014,4
1522015,2/15/2015,15,2,2015,1
1572014,7/15/2014,15,7,2014,3
12102014,10/12/2014,12,10,2014,4
16112014,11/16/2014,16,11,2014,4
21122014,12/21/2014,21,12,2014,4
1812015,1/18/2015,18,1,2015,1
3182014,8/31/2014,31,8,2014,3
19102014,10/19/2014,19,10,2014,4
23112014,11/23/2014,23,11,2014,4
822015,2/8/2015,8,2,2015,1
5102014,10/5/2014,5,10,2014,4
14122014,12/14/2014,14,12,2014,4
2512015,1/25/2015,25,1,2015,1
2772014,7/27/2014,27,7,2014,3
2482014,8/24/2014,24,8,2014,3
2112014,11/2/2014,2,11,2014,4
122015,2/1/2015,1,2,2015,1
282014,8/2/2014,2,8,2014,3
2092014,9/20/2014,20,9,2014,3
29112014,11/29/2014,29,11,2014,4
722015,2/7/2015,7,2,2015,1
1682014,8/16/2014,16,8,2014,3
25102014,10/25/2014,25,10,2014,4
13122014,12/13/2014,13,12,2014,4
3112015,1/31/2015,31,1,2015,1
6122014,12/6/2014,6,12,2014,4
1422015,2/14/2015,14,2,2015,1
1112014,11/1/2014,1,11,2014,4
20122014,12/20/2014,20,12,2014,4
782014,8/7/2014,7,8,2014,3
492014,9/4/2014,4,9,2014,3
2102014,10/2/2014,2,10,2014,4
6112014,11/6/2014,6,11,2014,4
11122014,12/11/2014,11,12,2014,4
112015,1/1/2015,1,1,2015,1
622015,2/6/2015,6,2,2015,1
982014,8/9/2014,9,8,2014,3
692014,9/6/2014,6,9,2014,3
4102014,10/4/2014,4,10,2014,4
8112014,11/8/2014,8,11,2014,4
1232015,3/12/2015,12,3,2015,1
11102014,10/11/2014,11,10,2014,4
15112014,11/15/2014,15,11,2014,4
27122014,12/27/2014,27,12,2014,4
242015,4/2/2015,2,4,2015,2
2792014,9/27/2014,27,9,2014,3
1332015,3/13/2015,13,3,2015,1
482014,8/4/2014,4,8,2014,3
2582014,8/25/2014,25,8,2014,3
