code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result
AAA,2013J,3733,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass
AAA,2013J,6516,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass
AAA,2013J,8462,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
AAA,2013J,11391,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,23629,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass
AAA,2013J,23632,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass
AAA,2013J,23698,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass
AAA,2013J,23798,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass
AAA,2013J,24186,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass
AAA,2013J,24213,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass
AAA,2013J,24391,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,24734,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,25107,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
AAA,2013J,25150,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass
AAA,2013J,25261,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass
AAA,2013J,25572,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn
AAA,2013J,25629,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass
AAA,2013J,25997,M,Ireland,HE Qualification,,35-55,0,60,N,Pass
AAA,2013J,26023,M,East Anglian Region,A Level or Equivalent,20-Oct,35-55,0,150,N,Fail
AAA,2013J,26192,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass
AAA,2013J,26211,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
AAA,2013J,26247,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass
AAA,2013J,26269,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn
AAA,2013J,26315,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass
AAA,2013J,26677,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass
AAA,2013J,26734,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass
AAA,2013J,26915,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass
AAA,2013J,27116,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass
AAA,2013J,27189,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass
AAA,2013J,27417,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn
AAA,2013J,27457,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass
AAA,2013J,27683,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,27759,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass
AAA,2013J,27780,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass
AAA,2013J,27891,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass
AAA,2013J,27935,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass
AAA,2013J,28046,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass
AAA,2013J,28061,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass
AAA,2013J,28149,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass
AAA,2013J,28400,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,28418,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass
AAA,2013J,28770,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn
AAA,2013J,28787,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass
AAA,2013J,28808,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction
AAA,2013J,28897,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn
AAA,2013J,28952,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn
AAA,2013J,29144,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass
AAA,2013J,29335,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass
AAA,2013J,29411,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn
AAA,2013J,29420,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass
AAA,2013J,29639,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass
AAA,2013J,29764,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass
AAA,2013J,29769,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail
AAA,2013J,29820,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail
AAA,2013J,29985,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn
AAA,2013J,30091,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn
