code_module,code_presentation,id_student,date_registration_int,date_registration,date_registration_key,date_unregistration_int,date_unregistration,date_unregistration_key
AAA,2013J,3733,-159,2/6/2014,622014,,,
AAA,2013J,6516,-53,5/23/2014,2352014,,,
AAA,2013J,8462,-92,4/14/2014,1442014,12,7/27/2014,2772014
AAA,2013J,11391,-52,5/24/2014,2452014,,,
AAA,2013J,23629,-176,1/20/2014,2012014,,,
AAA,2013J,23632,-110,3/27/2014,2732014,,,
AAA,2013J,23698,-67,5/9/2014,952014,,,
AAA,2013J,23798,-29,6/16/2014,1662014,,,
AAA,2013J,24186,-33,6/12/2014,1262014,,,
AAA,2013J,24213,-179,1/17/2014,1712014,,,
AAA,2013J,24391,-103,4/3/2014,342014,,,
AAA,2013J,24734,-47,5/29/2014,2952014,,,
AAA,2013J,25107,-59,5/17/2014,1752014,,,
AAA,2013J,25150,-68,5/8/2014,852014,,,
AAA,2013J,25261,-67,5/9/2014,952014,,,
AAA,2013J,25572,-180,1/16/2014,1612014,96,10/19/2014,19102014
AAA,2013J,25629,-95,4/11/2014,1142014,,,
AAA,2013J,25997,-130,3/7/2014,732014,,,
AAA,2013J,26023,-50,5/26/2014,2652014,,,
AAA,2013J,26192,-107,3/30/2014,3032014,,,
AAA,2013J,26211,-27,6/18/2014,1862014,,,
AAA,2013J,26247,-31,6/14/2014,1462014,,,
AAA,2013J,26269,-170,1/26/2014,2612014,72,9/25/2014,2592014
AAA,2013J,26315,-107,3/30/2014,3032014,,,
AAA,2013J,26677,-62,5/14/2014,1452014,,,
AAA,2013J,26734,-103,4/3/2014,342014,,,
AAA,2013J,26915,-107,3/30/2014,3032014,,,
AAA,2013J,27116,-100,4/6/2014,642014,,,
AAA,2013J,27189,-109,3/28/2014,2832014,,,
AAA,2013J,27417,5,7/20/2014,2072014,175,1/6/2015,612015
AAA,2013J,27457,-107,3/30/2014,3032014,,,
AAA,2013J,27683,-110,3/27/2014,2732014,,,
AAA,2013J,27759,-43,6/2/2014,262014,,,
AAA,2013J,27780,-26,6/19/2014,1962014,,,
AAA,2013J,27891,-29,6/16/2014,1662014,,,
AAA,2013J,27935,-68,5/8/2014,852014,,,
AAA,2013J,28046,-68,5/8/2014,852014,,,
AAA,2013J,28061,-32,6/13/2014,1362014,,,
AAA,2013J,28149,-99,4/7/2014,742014,,,
AAA,2013J,28400,-82,4/24/2014,2442014,,,
AAA,2013J,28418,-31,6/14/2014,1462014,,,
AAA,2013J,28770,-197,12/30/2013,30122013,135,11/27/2014,27112014
